name,count,id,lat,lng
Greenview Ave & Jarvis Ave,2944,520,42.015962,-87.66857
Greenwood Ave & 47th St,2419,TA1308000002,41.809835,-87.599383
Greenwood Ave & 79th St,105,576,41.75132,-87.595982
Greenwood Ave & 91st St,56,20235,41.728668928,-87.597277403
Greenwood Ave & 97th St,131,20238,41.71870315475741,-87.59703576564789
Griffin Museum of Science and Industry,396,KA1503000074,41.79172820953,-87.583945009
Hale Ave & 107th St,159,20108,41.699206168127674,-87.66891896724701
Halsted St & 104th St,46,20125,41.70514,-87.642424
Halsted St & 111th St,108,20127,41.69226255589166,-87.64261186122894
Halsted St & 18th St,3807,13099,41.85750568031716,-87.64599144458771
Halsted St & 21st St,2418,13162,41.85377981072743,-87.6466029882431
Halsted St & 35th St,2752,TA1308000043,41.830661,-87.647172
Halsted St & 37th St,519,TA1307000161,41.827059,-87.64572
Halsted St & 47th Pl,211,KA1503000051,41.808134,-87.645617
Halsted St & 51st St,113,KA1503000010,41.80183164049,-87.645213904
Halsted St & 56th St,50,KA1503000011,41.79292964599,-87.6449900565
Halsted St & 59th St,43,593,41.787539,-87.644874
Halsted St & 63rd St,223,KA1503000055,41.77938114228,-87.6446208145
Halsted St & 69th St,135,15597,41.76906172032,-87.6446135779
Halsted St & 73rd St,90,20244,41.761663079,-87.644078016
Halsted St & 78th St,163,20233,41.75248701249013,-87.6439021574879
Halsted St & 96th St,270,20105,41.719712183618824,-87.6430195569992
Halsted St & Archer Ave,2620,TA1308000013,41.847203,-87.646795
Halsted St & Clybourn Ave,18220,331,41.909668,-87.648128
Halsted St & Dickens Ave,12986,13192,41.919936,-87.64883
Halsted St & Fulton St,16207,23003,41.886871,-87.648089
Halsted St & Maxwell St,9533,TA1309000001,41.864883,-87.647071
Halsted St & North Branch St,2002,KA1504000117,41.89939028549696,-87.64854490756989
Halsted St & Polk St,15225,TA1307000121,41.87184,-87.64664
Halsted St & Roosevelt Rd,7980,TA1305000017,41.867324,-87.648625
Halsted St & Roscoe St,16838,TA1309000025,41.94367,-87.64895
Halsted St & Willow St,8659,TA1307000166,41.913865,-87.648755
Halsted St & Wrightwood Ave,16243,TA1309000061,41.929143,-87.649077
Hamlin Ave & 62nd Pl,73,350,41.7799285,-87.71784166666667
Hamlin Ave & Grand Ave,171,372,41.903990746,-87.721576095
Hampden Ct & Diversey Ave,3888,202480.0,41.932503,-87.64261483333334
Harding Ave & 26th St,86,332.0,41.8447035,-87.72336333333334
Harding Ave & 31st St,10,24234,41.836679935,-87.723182321
Harding Ave & Chicago Ave,13,24207,41.895313,-87.724738
Harding Ave & Division St,34,24203,41.902649,-87.725003
Harlem & Irving Park,312,326,41.95321633333333,-87.80712066666666
Harlem Ave & Bloomingdale Ave,20,21377,41.912078619,-87.805860162
Harlem Ave & Grace St,62,325,41.948930383,-87.806814313
Harlem Ave & Irving Park Rd,18,21326,41.95326,-87.80714
Harper Ave & 59th St,2947,KA1503000070,41.78794281287,-87.5883151702
Hegewisch Metra Station,71,20215,41.64850076266409,-87.54608988761902
Hermitage Ave & Polk St,5680,13080,41.871514,-87.669886
Homan Ave & 65th St,48,392,41.775139332,-87.708042145
Homan Ave & Fillmore St,59,364.0,41.868104,-87.71082116666666
Homewood Ave & 115th St,45,20206,41.684595,-87.670708
Honore St & Division St,10915,TA1305000034,41.903119,-87.673935
Houston Ave & 92nd St,126,20242,41.72820421535798,-87.54970014095306
Hoyne Ave & 34th St,143,21337,41.8320245,-87.6778387
Hoyne Ave & 47th St,392,KA1504000091,41.808227,-87.67718
Hoyne Ave & Balmoral Ave,2269,655,41.979851,-87.681932
Humboldt Blvd & Armitage Ave,4906,15651,41.91751339399,-87.7018089555
Indiana Ave & 103rd St,44,20112,41.70717027117756,-87.6184719800949
Indiana Ave & 133rd St,17,20240,41.653741833333335,-87.61712533333333
Indiana Ave & 26th St,3103,TA1307000005,41.845687,-87.622481
Indiana Ave & 31st St,4442,TA1308000036,41.838842,-87.621857
Indiana Ave & 40th St,283,13083,41.82168,-87.6216
Indiana Ave & Roosevelt Rd,23306,SL-005,41.867888,-87.623041
Jefferson St & Monroe St,8108,WL-011,41.880329633634624,-87.64274597167967
Jeffery Blvd & 67th St,499,KA1503000030,41.77351755125,-87.5771428255
Jeffery Blvd & 71st St,394,KA1503000018,41.76663823695,-87.5764501141
